Type;MaalerId;Tidspunkt;Maaling
Lys;400101;26-02-2024 22:15;7238
Lys;400102;26-02-2024 22:17;61719
Lys;400103;26-02-2024 22:18;20014
Lys;400104;26-02-2024 22:19;64908
Lys;400105;26-02-2024 22:20;16872
Lys;400106;26-02-2024 22:22;70091
Lys;400107;26-02-2024 22:23;72977
Lys;400108;26-02-2024 22:24;28458
Lys;400109;26-02-2024 22:25;30471
Lys;400110;26-02-2024 22:27;88781
Lys;400111;26-02-2024 22:28;79108
Lys;400112;26-02-2024 22:29;39490
Lys;400113;26-02-2024 22:30;55614
Lys;400114;26-02-2024 22:32;41989
Lys;400115;26-02-2024 22:33;65135
Lys;400116;26-02-2024 22:34;48920
Lys;400117;26-02-2024 22:35;8813
Lys;400118;26-02-2024 22:37;3574
Lys;400119;26-02-2024 22:38;72181
Lys;400120;26-02-2024 22:39;46133
Lys;400121;26-02-2024 22:40;26008
Lys;400122;26-02-2024 22:42;76320
Lys;400123;26-02-2024 22:43;49595
Lys;400124;26-02-2024 22:44;16673
Lys;400125;26-02-2024 22:45;67015
Lys;400126;26-02-2024 22:47;1642
Lys;400127;26-02-2024 22:48;44911
Lys;400128;26-02-2024 22:49;68980
Lys;400129;26-02-2024 22:50;55894
Lys;400130;26-02-2024 22:52;44225
Lys;400131;26-02-2024 22:53;71761
Lys;400132;26-02-2024 22:54;33970
Lys;400133;26-02-2024 22:55;1662
Lys;400134;26-02-2024 22:57;57637
Lys;400135;26-02-2024 22:58;1254
Lys;400136;26-02-2024 22:59;59691
Lys;400137;26-02-2024 23:00;73473
Lys;400138;26-02-2024 23:02;26375
Lys;400139;26-02-2024 23:03;47066
Lys;400140;26-02-2024 23:04;35792
Lys;400141;26-02-2024 23:05;43531
Lys;400142;26-02-2024 23:07;50739
Lys;400143;26-02-2024 23:08;69164
Lys;400144;26-02-2024 23:09;79815
Lys;400145;26-02-2024 23:10;69451
Lys;400146;26-02-2024 23:12;40078
Lys;400147;26-02-2024 23:13;47801
Lys;400148;26-02-2024 23:14;38250
Lys;400149;26-02-2024 23:15;23795
Lys;400150;26-02-2024 23:17;39436
Lys;400151;26-02-2024 23:18;45870
Lys;400152;26-02-2024 23:19;2089
Lys;400153;26-02-2024 23:20;57508
Lys;400154;26-02-2024 23:22;29317
Lys;400155;26-02-2024 23:23;24669
Lys;400156;26-02-2024 23:24;3558
Lys;400157;26-02-2024 23:25;57528
Lys;400158;26-02-2024 23:27;45038
Lys;400159;26-02-2024 23:28;23623
Lys;400160;26-02-2024 23:29;14270
Lys;400161;26-02-2024 23:30;53009
Lys;400162;26-02-2024 23:32;68377
Lys;400163;26-02-2024 23:33;41174
Lys;400164;26-02-2024 23:34;49222
Lys;400165;26-02-2024 23:35;42578
Lys;400166;26-02-2024 23:37;39569
Lys;400167;26-02-2024 23:38;20886
Lys;400168;26-02-2024 23:39;47626
Lys;400169;26-02-2024 23:40;4318
Lys;400170;26-02-2024 23:42;10532
Lys;400171;26-02-2024 23:43;32506
Lys;400172;26-02-2024 23:44;23569
Lys;400173;26-02-2024 23:45;28372
Lys;400174;26-02-2024 23:47;85644
Lys;400175;26-02-2024 23:48;10894
Lys;400176;26-02-2024 23:49;28104
Lys;400177;26-02-2024 23:50;45717
Lys;400178;26-02-2024 23:52;22006
Lys;400179;26-02-2024 23:53;56950
Lys;400180;26-02-2024 23:54;82264
Lys;400181;26-02-2024 23:55;61509
Lys;400182;26-02-2024 23:57;25680
Lys;400183;26-02-2024 23:58;30436
Lys;400184;26-02-2024 23:59;60280
Lys;400185;27-02-2024 00:00;62327
Lys;400186;27-02-2024 00:02;25656
Lys;400187;27-02-2024 00:03;28016
Lys;400188;27-02-2024 00:04;65568
Lys;400189;27-02-2024 00:05;12968
Lys;400190;27-02-2024 00:07;44766
Lys;400191;27-02-2024 00:08;46330
Lys;400192;27-02-2024 00:09;29220
Lys;400193;27-02-2024 00:10;27451
Lys;400194;27-02-2024 00:12;26922
Lys;400195;27-02-2024 00:13;73614
Lys;400196;27-02-2024 00:14;15503
Lys;400197;27-02-2024 00:15;58506
Lys;400198;27-02-2024 00:17;82032
Lys;400199;27-02-2024 00:18;12616
Lys;400200;27-02-2024 00:19;26093
