Type;MaalerId;Tidspunkt;Maaling
Vand;200101;26-02-2024 21:09;26
Vand;200102;26-02-2024 21:10;32
Vand;200103;26-02-2024 21:11;30
Vand;200104;26-02-2024 21:13;31
Vand;200105;26-02-2024 21:14;31
Vand;200106;26-02-2024 21:15;42
Vand;200107;26-02-2024 21:16;30
Vand;200108;26-02-2024 21:18;37
Vand;200109;26-02-2024 21:19;26
Vand;200110;26-02-2024 21:20;33
Vand;200111;26-02-2024 21:21;43
Vand;200112;26-02-2024 21:23;28
Vand;200113;26-02-2024 21:24;45
Vand;200114;26-02-2024 21:25;38
Vand;200115;26-02-2024 21:26;42
Vand;200116;26-02-2024 21:28;33
Vand;200117;26-02-2024 21:29;35
Vand;200118;26-02-2024 21:30;26
Vand;200119;26-02-2024 21:31;44
Vand;200120;26-02-2024 21:33;40
Vand;200121;26-02-2024 21:34;44
Vand;200122;26-02-2024 21:35;32
Vand;200123;26-02-2024 21:36;26
Vand;200124;26-02-2024 21:38;28
Vand;200125;26-02-2024 21:39;43
Vand;200126;26-02-2024 21:40;28
Vand;200127;26-02-2024 21:41;39
Vand;200128;26-02-2024 21:43;38
Vand;200129;26-02-2024 21:44;28
Vand;200130;26-02-2024 21:45;37
Vand;200131;26-02-2024 21:46;32
Vand;200132;26-02-2024 21:48;45
Vand;200133;26-02-2024 21:49;27
Vand;200134;26-02-2024 21:50;32
Vand;200135;26-02-2024 21:51;25
Vand;200136;26-02-2024 21:53;36
Vand;200137;26-02-2024 21:54;30
Vand;200138;26-02-2024 21:55;38
Vand;200139;26-02-2024 21:56;41
Vand;200140;26-02-2024 21:58;32
Vand;200141;26-02-2024 21:59;34
Vand;200142;26-02-2024 22:00;36
Vand;200143;26-02-2024 22:01;33
Vand;200144;26-02-2024 22:03;39
Vand;200145;26-02-2024 22:04;45
Vand;200146;26-02-2024 22:05;34
Vand;200147;26-02-2024 22:06;27
Vand;200148;26-02-2024 22:08;30
Vand;200149;26-02-2024 22:09;37
Vand;200150;26-02-2024 22:10;45
Vand;200151;26-02-2024 22:11;31
Vand;200152;26-02-2024 22:13;37
Vand;200153;26-02-2024 22:14;41
Vand;200154;26-02-2024 22:15;27
Vand;200155;26-02-2024 22:16;40
Vand;200156;26-02-2024 22:18;30
Vand;200157;26-02-2024 22:19;36
Vand;200158;26-02-2024 22:20;41
Vand;200159;26-02-2024 22:21;27
Vand;200160;26-02-2024 22:23;35
Vand;200161;26-02-2024 22:24;41
Vand;200162;26-02-2024 22:25;38
Vand;200163;26-02-2024 22:26;34
Vand;200164;26-02-2024 22:28;27
Vand;200165;26-02-2024 22:29;33
Vand;200166;26-02-2024 22:30;26
Vand;200167;26-02-2024 22:31;42
Vand;200168;26-02-2024 22:33;32
Vand;200169;26-02-2024 22:34;36
Vand;200170;26-02-2024 22:35;40
Vand;200171;26-02-2024 22:36;29
Vand;200172;26-02-2024 22:38;41
Vand;200173;26-02-2024 22:39;39
Vand;200174;26-02-2024 22:40;32
Vand;200175;26-02-2024 22:41;32
Vand;200176;26-02-2024 22:43;41
Vand;200177;26-02-2024 22:44;36
Vand;200178;26-02-2024 22:45;42
Vand;200179;26-02-2024 22:46;41
Vand;200180;26-02-2024 22:48;29
Vand;200181;26-02-2024 22:49;40
Vand;200182;26-02-2024 22:50;35
Vand;200183;26-02-2024 22:51;32
Vand;200184;26-02-2024 22:53;36
Vand;200185;26-02-2024 22:54;33
Vand;200186;26-02-2024 22:55;37
Vand;200187;26-02-2024 22:56;26
Vand;200188;26-02-2024 22:58;36
Vand;200189;26-02-2024 22:59;25
Vand;200190;26-02-2024 23:00;26
Vand;200191;26-02-2024 23:01;26
Vand;200192;26-02-2024 23:03;40
Vand;200193;26-02-2024 23:04;44
Vand;200194;26-02-2024 23:05;35
Vand;200195;26-02-2024 23:06;42
Vand;200196;26-02-2024 23:08;38
Vand;200197;26-02-2024 23:09;35
Vand;200198;26-02-2024 23:10;36
Vand;200199;26-02-2024 23:11;43
Vand;200200;26-02-2024 23:13;45
