"Type";"MaalerId";"Tidspunkt";"Maaling"
"1";"100101";"26-02-2024 21:28:24";"28"
"1";"100102";"26-02-2024 21:28:25";"29,7"
"1";"100103";"26-02-2024 21:28:26";"29,3"
"1";"100104";"26-02-2024 21:28:27";"33,1"
"1";"100105";"26-02-2024 21:28:28";"25"
"1";"100106";"26-02-2024 21:28:29";"32,7"
"1";"100107";"26-02-2024 21:28:30";"28,9"
"1";"100108";"26-02-2024 21:28:31";"26"
"1";"100109";"26-02-2024 21:28:32";"22,3"
"1";"100110";"26-02-2024 21:28:33";"23,2"
"1";"100111";"26-02-2024 21:28:34";"24,6"
"1";"100112";"26-02-2024 21:28:35";"28,2"
"1";"100113";"26-02-2024 21:28:36";"20,7"
"1";"100114";"26-02-2024 21:28:37";"28,6"
"1";"100115";"26-02-2024 21:28:38";"30,3"
"1";"100116";"26-02-2024 21:28:39";"27,5"
"1";"100117";"26-02-2024 21:28:40";"27,3"
"1";"100118";"26-02-2024 21:28:41";"24,4"
"1";"100119";"26-02-2024 21:28:42";"26,3"
"1";"100120";"26-02-2024 21:28:43";"28,2"
"1";"100121";"26-02-2024 21:28:44";"27,6"
"1";"100122";"26-02-2024 21:28:45";"30,4"
"1";"100123";"26-02-2024 21:28:46";"23,2"
"1";"100124";"26-02-2024 21:28:47";"27,4"
"1";"100125";"26-02-2024 21:28:48";"30,2"
"1";"100126";"26-02-2024 21:28:49";"28,3"
"1";"100127";"26-02-2024 21:28:50";"26,7"
"1";"100128";"26-02-2024 21:28:51";"27,6"
"1";"100129";"26-02-2024 21:28:52";"24,4"
"1";"100130";"26-02-2024 21:28:53";"28,4"
"1";"100131";"26-02-2024 21:28:54";"31,2"
"1";"100132";"26-02-2024 21:28:55";"33,9"
"1";"100133";"26-02-2024 21:28:56";"27,4"
"1";"100134";"26-02-2024 21:28:57";"29,4"
"1";"100135";"26-02-2024 21:28:58";"25,7"
"1";"100136";"26-02-2024 21:28:59";"24,2"
"1";"100137";"26-02-2024 21:29:00";"29,1"
"1";"100138";"26-02-2024 21:29:01";"32,7"
"1";"100139";"26-02-2024 21:29:02";"28,8"
"1";"100140";"26-02-2024 21:29:03";"27,7"
"1";"100141";"26-02-2024 21:29:04";"30"
"1";"100142";"26-02-2024 21:29:05";"28,1"
"1";"100143";"26-02-2024 21:29:06";"29,4"
"1";"100144";"26-02-2024 21:29:07";"26,6"
"1";"100145";"26-02-2024 21:29:08";"25,2"
"1";"100146";"26-02-2024 21:29:09";"28,4"
"1";"100147";"26-02-2024 21:29:10";"27,2"
"1";"100148";"26-02-2024 21:29:11";"35,5"
"1";"100149";"26-02-2024 21:29:12";"31,7"
"1";"100150";"26-02-2024 21:29:13";"30,5"
"1";"100151";"26-02-2024 21:29:14";"26,9"
"1";"100152";"26-02-2024 21:29:15";"26,4"
"1";"100153";"26-02-2024 21:29:16";"33,6"
"1";"100154";"26-02-2024 21:29:17";"23,9"
"1";"100155";"26-02-2024 21:29:18";"25,3"
"1";"100156";"26-02-2024 21:29:19";"32,2"
"1";"100157";"26-02-2024 21:29:20";"28,6"
"1";"100158";"26-02-2024 21:29:21";"23,5"
"1";"100159";"26-02-2024 21:29:22";"26,1"
"1";"100160";"26-02-2024 21:29:23";"31,2"
"1";"100161";"26-02-2024 21:29:24";"25,9"
"1";"100162";"26-02-2024 21:29:25";"31,3"
"1";"100163";"26-02-2024 21:29:26";"24"
"1";"100164";"26-02-2024 21:29:27";"24,2"
"1";"100165";"26-02-2024 21:29:28";"32,6"
"1";"100166";"26-02-2024 21:29:29";"29,5"
"1";"100167";"26-02-2024 21:29:30";"25,7"
