"Type";"MaalerId";"Tidspunkt";"Maaling"
"1";"100101";"26-02-2024 21:13:21";"34,4"
"1";"100102";"26-02-2024 21:13:22";"25,2"
"1";"100103";"26-02-2024 21:13:23";"30,8"
"1";"100104";"26-02-2024 21:13:24";"28,6"
"1";"100105";"26-02-2024 21:13:25";"25,5"
"1";"100106";"26-02-2024 21:13:26";"28,9"
"1";"100107";"26-02-2024 21:13:27";"25,3"
"1";"100108";"26-02-2024 21:13:28";"28,1"
"1";"100109";"26-02-2024 21:13:29";"28"
"1";"100110";"26-02-2024 21:13:30";"27,6"
"1";"100111";"26-02-2024 21:13:31";"33,1"
"1";"100112";"26-02-2024 21:13:32";"21,5"
"1";"100113";"26-02-2024 21:13:33";"25,4"
"1";"100114";"26-02-2024 21:13:34";"26"
"1";"100115";"26-02-2024 21:13:35";"32,8"
"1";"100116";"26-02-2024 21:13:36";"30,1"
"1";"100117";"26-02-2024 21:13:37";"30"
"1";"100118";"26-02-2024 21:13:38";"25,6"
"1";"100119";"26-02-2024 21:13:39";"32,1"
"1";"100120";"26-02-2024 21:13:40";"29,3"
"1";"100121";"26-02-2024 21:13:41";"26,2"
"1";"100122";"26-02-2024 21:13:42";"30,7"
"1";"100123";"26-02-2024 21:13:43";"30,6"
"1";"100124";"26-02-2024 21:13:44";"23,8"
"1";"100125";"26-02-2024 21:13:45";"30,1"
"1";"100126";"26-02-2024 21:13:46";"24,3"
"1";"100127";"26-02-2024 21:13:47";"29,9"
"1";"100128";"26-02-2024 21:13:48";"31,8"
"1";"100129";"26-02-2024 21:13:49";"31,6"
"1";"100130";"26-02-2024 21:13:50";"26,5"
"1";"100131";"26-02-2024 21:13:51";"34,7"
"1";"100132";"26-02-2024 21:13:52";"25,4"
"1";"100133";"26-02-2024 21:13:53";"27,8"
"1";"100134";"26-02-2024 21:13:54";"24,4"
"1";"100135";"26-02-2024 21:13:55";"30,3"
"1";"100136";"26-02-2024 21:13:56";"27,2"
"1";"100137";"26-02-2024 21:13:57";"28,3"
"1";"100138";"26-02-2024 21:13:58";"35,9"
"1";"100139";"26-02-2024 21:13:59";"26,8"
"1";"100140";"26-02-2024 21:14:00";"28,8"
"1";"100141";"26-02-2024 21:14:01";"35,1"
"1";"100142";"26-02-2024 21:14:02";"29,7"
"1";"100143";"26-02-2024 21:14:03";"31,9"
"1";"100144";"26-02-2024 21:14:04";"23,9"
"1";"100145";"26-02-2024 21:14:05";"25,5"
"1";"100146";"26-02-2024 21:14:06";"33,8"
"1";"100147";"26-02-2024 21:14:07";"26,7"
"1";"100148";"26-02-2024 21:14:08";"26,5"
"1";"100149";"26-02-2024 21:14:09";"30"
"1";"100150";"26-02-2024 21:14:10";"23,9"
"1";"100151";"26-02-2024 21:14:11";"28,4"
"1";"100152";"26-02-2024 21:14:12";"30,4"
"1";"100153";"26-02-2024 21:14:13";"31,2"
"1";"100154";"26-02-2024 21:14:14";"31,2"
"1";"100155";"26-02-2024 21:14:15";"32,4"
"1";"100156";"26-02-2024 21:14:16";"36,7"
"1";"100157";"26-02-2024 21:14:17";"27,2"
"1";"100158";"26-02-2024 21:14:18";"29,9"
"1";"100159";"26-02-2024 21:14:19";"27,4"
"1";"100160";"26-02-2024 21:14:20";"31,9"
"1";"100161";"26-02-2024 21:14:21";"27,3"
"1";"100162";"26-02-2024 21:14:22";"30,3"
"1";"100163";"26-02-2024 21:14:23";"28,6"
